SUBJECT_UID	SAMPLE_NAME
PHX9S2vIyxrte	ICSX 2010010:1
PHX9SBrk0dye2	ICSX 2010010:2
PHX9SFmvcZmwu	ICSX 2010010:3
PHX9S3FWwMFg7	ICSX 2010010:4
PHX9SG879b4td	ICSX 2010010:5
PHX9SMPDAyzm5	ICSX 2010010:6
PHX9Srj4KKsPC	ICSX 2010010:7
PHX9SipaAtfOf	ICSX 2010010:8
PHX9StPpWeeck	ICSX 2010010:9
PHX9ScYzYKOGu	ICSX 2010010:10
PHX9SUc1fEv5w	ICSX 2010010:11
PHX9SSMD6VI1c	ICSX 2010010:12
PHX9SY8C72p8N	ICSX 2010012:1
PHX9Sp1YXf94p	ICSX 2010012:2
PHX9Sl3ysCA6z	ICSX 2010012:3
PHX9Sf15QAd4j	ICSX 2010012:4
PHX9SXeQHLVj8	ICSX 2010012:5
PHX9S8SvsYILB	ICSX 2010012:6
PHX9SZa7swrQY	ICSX 2010012:7
PHX9SOKt7srPJ	ICSX 2010012:8
PHX9SB8iII7qZ	ICSX 2010012:9
PHX9SXsNbtGmL	ICSX 2010012:10
PHX9SD6OCWnsC	ICSX 2010012:11
PHX9SBl0lx6Zm	ICSX 2010012:12
PHX9SLgWJgYsI	ICSB 38:10
PHX9SUes66Lpd	ICSB 38:11
PHX9S2gHzYslh	ICSX 2010014:1
PHX9SvxSnZyj1	ICSX 2010014:2
PHX9SQcPlEDYQ	ICSX 2010014:3
PHX9SljdRLOHc	ICSX 2010014:4
PHX9SCz65HJeW	ICSX 2010014:5
PHX9SgDkESOHh	ICSX 2010014:6
PHX9SNmL15Kdu	ICSX 2010014:7
PHX9SQkt9N5vF	ICSX 2010014:8
PHX9SSWoPvkzJ	ICSX 2010014:9
PHX9SJPXi2rul	ICSX 2010014:10
PHX9S94dCcvTg	ICSX 2010014:11
PHX9Sb0TcP4uY	ICSX 2010014:12
PHX9SLPGL9xDw	ICSX 2010016:1
PHX9SEUXNKxA8	ICSX 2010016:2
PHX9S6SkCsPYw	ICSX 2010016:3
PHX9S3m5rasMI	ICSX 2010016:4
PHX9SYC9svax0	ICSX 2010016:5
PHX9SX1Ce6EbU	ICSX 2010016:6
PHX9Sqr1hPJmv	ICSX 2010016:7
PHX9S8BqkeN3a	ICSX 2010016:8
